_id,year,region,province,area,sex,age_group,value,unit,source
16,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,รวม,41944111,คน,สำนักงานสถิติแห่งชาติ
17,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,รวม,20885478,คน,สำนักงานสถิติแห่งชาติ
18,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,รวม,21058633,คน,สำนักงานสถิติแห่งชาติ
19,2553,ทั่วประเทศ,รวม,รวม,รวม,รวม,65981659,คน,สำนักงานสถิติแห่งชาติ
20,2553,ทั่วประเทศ,รวม,รวม,ชาย,รวม,32355032,คน,สำนักงานสถิติแห่งชาติ
21,2553,ทั่วประเทศ,รวม,รวม,หญิง,รวม,33626627,คน,สำนักงานสถิติแห่งชาติ
22,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,รวม,29133829,คน,สำนักงานสถิติแห่งชาติ
23,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,รวม,14120842,คน,สำนักงานสถิติแห่งชาติ
24,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,รวม,15012987,คน,สำนักงานสถิติแห่งชาติ
25,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,รวม,36847830,คน,สำนักงานสถิติแห่งชาติ
26,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,รวม,18234190,คน,สำนักงานสถิติแห่งชาติ
27,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,รวม,18613640,คน,สำนักงานสถิติแห่งชาติ
28,2533,ทั่วประเทศ,รวม,รวม,รวม,0 - 4 ปี,4499714,คน,สำนักงานสถิติแห่งชาติ
29,2533,ทั่วประเทศ,รวม,รวม,ชาย,0 - 4 ปี,2307787,คน,สำนักงานสถิติแห่งชาติ
30,2533,ทั่วประเทศ,รวม,รวม,หญิง,0 - 4 ปี,2191927,คน,สำนักงานสถิติแห่งชาติ
31,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,0 - 4 ปี,674906,คน,สำนักงานสถิติแห่งชาติ
32,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,0 - 4 ปี,346968,คน,สำนักงานสถิติแห่งชาติ
33,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,0 - 4 ปี,327938,คน,สำนักงานสถิติแห่งชาติ
34,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,0 - 4 ปี,3824808,คน,สำนักงานสถิติแห่งชาติ
35,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,0 - 4 ปี,1960819,คน,สำนักงานสถิติแห่งชาติ
36,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,0 - 4 ปี,1863989,คน,สำนักงานสถิติแห่งชาติ
37,2543,ทั่วประเทศ,รวม,รวม,รวม,0 - 4 ปี,4634898,คน,สำนักงานสถิติแห่งชาติ
38,2543,ทั่วประเทศ,รวม,รวม,ชาย,0 - 4 ปี,2389624,คน,สำนักงานสถิติแห่งชาติ
39,2543,ทั่วประเทศ,รวม,รวม,หญิง,0 - 4 ปี,2245274,คน,สำนักงานสถิติแห่งชาติ
40,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,0 - 4 ปี,1205825,คน,สำนักงานสถิติแห่งชาติ
41,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,0 - 4 ปี,621789,คน,สำนักงานสถิติแห่งชาติ
42,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,0 - 4 ปี,584036,คน,สำนักงานสถิติแห่งชาติ
43,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,0 - 4 ปี,3429073,คน,สำนักงานสถิติแห่งชาติ
44,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,0 - 4 ปี,1767835,คน,สำนักงานสถิติแห่งชาติ
45,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,0 - 4 ปี,1661238,คน,สำนักงานสถิติแห่งชาติ
46,2553,ทั่วประเทศ,รวม,รวม,รวม,0 - 4 ปี,3739868,คน,สำนักงานสถิติแห่งชาติ
47,2553,ทั่วประเทศ,รวม,รวม,ชาย,0 - 4 ปี,1915887,คน,สำนักงานสถิติแห่งชาติ
48,2553,ทั่วประเทศ,รวม,รวม,หญิง,0 - 4 ปี,1823981,คน,สำนักงานสถิติแห่งชาติ
49,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,0 - 4 ปี,1351735,คน,สำนักงานสถิติแห่งชาติ
50,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,0 - 4 ปี,685185,คน,สำนักงานสถิติแห่งชาติ
51,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,0 - 4 ปี,666550,คน,สำนักงานสถิติแห่งชาติ
52,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,0 - 4 ปี,2388133,คน,สำนักงานสถิติแห่งชาติ
53,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,0 - 4 ปี,1230702,คน,สำนักงานสถิติแห่งชาติ
54,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,0 - 4 ปี,1157431,คน,สำนักงานสถิติแห่งชาติ
55,2533,ทั่วประเทศ,รวม,รวม,รวม,5 - 9 ปี,5484230,คน,สำนักงานสถิติแห่งชาติ
56,2533,ทั่วประเทศ,รวม,รวม,ชาย,5 - 9 ปี,2809019,คน,สำนักงานสถิติแห่งชาติ
57,2533,ทั่วประเทศ,รวม,รวม,หญิง,5 - 9 ปี,2675211,คน,สำนักงานสถิติแห่งชาติ
58,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,5 - 9 ปี,783020,คน,สำนักงานสถิติแห่งชาติ
59,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,5 - 9 ปี,401983,คน,สำนักงานสถิติแห่งชาติ
60,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,5 - 9 ปี,381037,คน,สำนักงานสถิติแห่งชาติ
61,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,5 - 9 ปี,4701210,คน,สำนักงานสถิติแห่งชาติ
62,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,5 - 9 ปี,2407036,คน,สำนักงานสถิติแห่งชาติ
63,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,5 - 9 ปี,2294174,คน,สำนักงานสถิติแห่งชาติ
64,2543,ทั่วประเทศ,รวม,รวม,รวม,5 - 9 ปี,5125054,คน,สำนักงานสถิติแห่งชาติ
65,2543,ทั่วประเทศ,รวม,รวม,ชาย,5 - 9 ปี,2639213,คน,สำนักงานสถิติแห่งชาติ
66,2543,ทั่วประเทศ,รวม,รวม,หญิง,5 - 9 ปี,2485841,คน,สำนักงานสถิติแห่งชาติ
67,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,5 - 9 ปี,1315293,คน,สำนักงานสถิติแห่งชาติ
68,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,5 - 9 ปี,675544,คน,สำนักงานสถิติแห่งชาติ
69,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,5 - 9 ปี,639749,คน,สำนักงานสถิติแห่งชาติ
70,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,5 - 9 ปี,3809761,คน,สำนักงานสถิติแห่งชาติ
71,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,5 - 9 ปี,1963669,คน,สำนักงานสถิติแห่งชาติ
72,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,5 - 9 ปี,1846092,คน,สำนักงานสถิติแห่งชาติ
73,2553,ทั่วประเทศ,รวม,รวม,รวม,5 - 9 ปี,4081644,คน,สำนักงานสถิติแห่งชาติ
74,2553,ทั่วประเทศ,รวม,รวม,ชาย,5 - 9 ปี,2100931,คน,สำนักงานสถิติแห่งชาติ
75,2553,ทั่วประเทศ,รวม,รวม,หญิง,5 - 9 ปี,1980712,คน,สำนักงานสถิติแห่งชาติ
76,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,5 - 9 ปี,1476549,คน,สำนักงานสถิติแห่งชาติ
77,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,5 - 9 ปี,753771,คน,สำนักงานสถิติแห่งชาติ
78,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,5 - 9 ปี,722779,คน,สำนักงานสถิติแห่งชาติ
79,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,5 - 9 ปี,2605095,คน,สำนักงานสถิติแห่งชาติ
80,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,5 - 9 ปี,1347161,คน,สำนักงานสถิติแห่งชาติ
81,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,5 - 9 ปี,1257934,คน,สำนักงานสถิติแห่งชาติ
82,2533,ทั่วประเทศ,รวม,รวม,รวม,10 - 14 ปี,5962988,คน,สำนักงานสถิติแห่งชาติ
83,2533,ทั่วประเทศ,รวม,รวม,ชาย,10 - 14 ปี,3047289,คน,สำนักงานสถิติแห่งชาติ
84,2533,ทั่วประเทศ,รวม,รวม,หญิง,10 - 14 ปี,2915699,คน,สำนักงานสถิติแห่งชาติ
85,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,10 - 14 ปี,918696,คน,สำนักงานสถิติแห่งชาติ
86,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,10 - 14 ปี,462415,คน,สำนักงานสถิติแห่งชาติ
87,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,10 - 14 ปี,456281,คน,สำนักงานสถิติแห่งชาติ
88,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,10 - 14 ปี,5044292,คน,สำนักงานสถิติแห่งชาติ
89,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,10 - 14 ปี,2584874,คน,สำนักงานสถิติแห่งชาติ
90,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,10 - 14 ปี,2459418,คน,สำนักงานสถิติแห่งชาติ
91,2543,ทั่วประเทศ,รวม,รวม,รวม,10 - 14 ปี,5083946,คน,สำนักงานสถิติแห่งชาติ
92,2543,ทั่วประเทศ,รวม,รวม,ชาย,10 - 14 ปี,2604211,คน,สำนักงานสถิติแห่งชาติ
93,2543,ทั่วประเทศ,รวม,รวม,หญิง,10 - 14 ปี,2479735,คน,สำนักงานสถิติแห่งชาติ
94,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,10 - 14 ปี,1351669,คน,สำนักงานสถิติแห่งชาติ
95,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,10 - 14 ปี,689734,คน,สำนักงานสถิติแห่งชาติ
96,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,10 - 14 ปี,661935,คน,สำนักงานสถิติแห่งชาติ
97,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,10 - 14 ปี,3732277,คน,สำนักงานสถิติแห่งชาติ
98,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,10 - 14 ปี,1914477,คน,สำนักงานสถิติแห่งชาติ
99,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,10 - 14 ปี,1817800,คน,สำนักงานสถิติแห่งชาติ
100,2553,ทั่วประเทศ,รวม,รวม,รวม,10 - 14 ปี,4864280,คน,สำนักงานสถิติแห่งชาติ
101,2553,ทั่วประเทศ,รวม,รวม,ชาย,10 - 14 ปี,2494484,คน,สำนักงานสถิติแห่งชาติ
102,2553,ทั่วประเทศ,รวม,รวม,หญิง,10 - 14 ปี,2369795,คน,สำนักงานสถิติแห่งชาติ
103,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,10 - 14 ปี,1820041,คน,สำนักงานสถิติแห่งชาติ
104,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,10 - 14 ปี,929546,คน,สำนักงานสถิติแห่งชาติ
105,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,10 - 14 ปี,890495,คน,สำนักงานสถิติแห่งชาติ
106,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,10 - 14 ปี,3044239,คน,สำนักงานสถิติแห่งชาติ
107,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,10 - 14 ปี,1564938,คน,สำนักงานสถิติแห่งชาติ
108,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,10 - 14 ปี,1479300,คน,สำนักงานสถิติแห่งชาติ
109,2533,ทั่วประเทศ,รวม,รวม,รวม,15 - 19 ปี,5688499,คน,สำนักงานสถิติแห่งชาติ
110,2533,ทั่วประเทศ,รวม,รวม,ชาย,15 - 19 ปี,2847207,คน,สำนักงานสถิติแห่งชาติ
111,2533,ทั่วประเทศ,รวม,รวม,หญิง,15 - 19 ปี,2841292,คน,สำนักงานสถิติแห่งชาติ
112,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,15 - 19 ปี,1127013,คน,สำนักงานสถิติแห่งชาติ
113,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,15 - 19 ปี,530916,คน,สำนักงานสถิติแห่งชาติ
114,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,15 - 19 ปี,596097,คน,สำนักงานสถิติแห่งชาติ
115,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,15 - 19 ปี,4561486,คน,สำนักงานสถิติแห่งชาติ
116,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,15 - 19 ปี,2316291,คน,สำนักงานสถิติแห่งชาติ
117,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,15 - 19 ปี,2245195,คน,สำนักงานสถิติแห่งชาติ
118,2543,ทั่วประเทศ,รวม,รวม,รวม,15 - 19 ปี,5287033,คน,สำนักงานสถิติแห่งชาติ
119,2543,ทั่วประเทศ,รวม,รวม,ชาย,15 - 19 ปี,2683634,คน,สำนักงานสถิติแห่งชาติ
120,2543,ทั่วประเทศ,รวม,รวม,หญิง,15 - 19 ปี,2603399,คน,สำนักงานสถิติแห่งชาติ
121,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,15 - 19 ปี,1624724,คน,สำนักงานสถิติแห่งชาติ
122,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,15 - 19 ปี,801256,คน,สำนักงานสถิติแห่งชาติ
123,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,15 - 19 ปี,823468,คน,สำนักงานสถิติแห่งชาติ
124,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,15 - 19 ปี,3662309,คน,สำนักงานสถิติแห่งชาติ
125,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,15 - 19 ปี,1882378,คน,สำนักงานสถิติแห่งชาติ
126,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,15 - 19 ปี,1779931,คน,สำนักงานสถิติแห่งชาติ
127,2553,ทั่วประเทศ,รวม,รวม,รวม,15 - 19 ปี,4900590,คน,สำนักงานสถิติแห่งชาติ
128,2553,ทั่วประเทศ,รวม,รวม,ชาย,15 - 19 ปี,2464805,คน,สำนักงานสถิติแห่งชาติ
129,2553,ทั่วประเทศ,รวม,รวม,หญิง,15 - 19 ปี,2435784,คน,สำนักงานสถิติแห่งชาติ
130,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,15 - 19 ปี,2182999,คน,สำนักงานสถิติแห่งชาติ
131,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,15 - 19 ปี,1075516,คน,สำนักงานสถิติแห่งชาติ
132,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,15 - 19 ปี,1107484,คน,สำนักงานสถิติแห่งชาติ
133,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,15 - 19 ปี,2717590,คน,สำนักงานสถิติแห่งชาติ
134,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,15 - 19 ปี,1389290,คน,สำนักงานสถิติแห่งชาติ
135,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,15 - 19 ปี,1328300,คน,สำนักงานสถิติแห่งชาติ
136,2533,ทั่วประเทศ,รวม,รวม,รวม,20 - 24 ปี,5543967,คน,สำนักงานสถิติแห่งชาติ
137,2533,ทั่วประเทศ,รวม,รวม,ชาย,20 - 24 ปี,2758182,คน,สำนักงานสถิติแห่งชาติ
138,2533,ทั่วประเทศ,รวม,รวม,หญิง,20 - 24 ปี,2785785,คน,สำนักงานสถิติแห่งชาติ
139,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,20 - 24 ปี,1238257,คน,สำนักงานสถิติแห่งชาติ
140,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,20 - 24 ปี,586332,คน,สำนักงานสถิติแห่งชาติ
141,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,20 - 24 ปี,651925,คน,สำนักงานสถิติแห่งชาติ
142,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,20 - 24 ปี,4305710,คน,สำนักงานสถิติแห่งชาติ
143,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,20 - 24 ปี,2171850,คน,สำนักงานสถิติแห่งชาติ
144,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,20 - 24 ปี,2133860,คน,สำนักงานสถิติแห่งชาติ
145,2543,ทั่วประเทศ,รวม,รวม,รวม,20 - 24 ปี,5262141,คน,สำนักงานสถิติแห่งชาติ
146,2543,ทั่วประเทศ,รวม,รวม,ชาย,20 - 24 ปี,2652654,คน,สำนักงานสถิติแห่งชาติ
147,2543,ทั่วประเทศ,รวม,รวม,หญิง,20 - 24 ปี,2609487,คน,สำนักงานสถิติแห่งชาติ
148,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,20 - 24 ปี,1914255,คน,สำนักงานสถิติแห่งชาติ
149,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,20 - 24 ปี,917649,คน,สำนักงานสถิติแห่งชาติ
150,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,20 - 24 ปี,996606,คน,สำนักงานสถิติแห่งชาติ
151,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,20 - 24 ปี,3347886,คน,สำนักงานสถิติแห่งชาติ
152,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,20 - 24 ปี,1735005,คน,สำนักงานสถิติแห่งชาติ
153,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,20 - 24 ปี,1612881,คน,สำนักงานสถิติแห่งชาติ
154,2553,ทั่วประเทศ,รวม,รวม,รวม,20 - 24 ปี,4691520,คน,สำนักงานสถิติแห่งชาติ
155,2553,ทั่วประเทศ,รวม,รวม,ชาย,20 - 24 ปี,2361297,คน,สำนักงานสถิติแห่งชาติ
156,2553,ทั่วประเทศ,รวม,รวม,หญิง,20 - 24 ปี,2330223,คน,สำนักงานสถิติแห่งชาติ
157,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,20 - 24 ปี,2482054,คน,สำนักงานสถิติแห่งชาติ
158,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,20 - 24 ปี,1207524,คน,สำนักงานสถิติแห่งชาติ
159,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,20 - 24 ปี,1274530,คน,สำนักงานสถิติแห่งชาติ
160,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,20 - 24 ปี,2209466,คน,สำนักงานสถิติแห่งชาติ
161,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,20 - 24 ปี,1153772,คน,สำนักงานสถิติแห่งชาติ
162,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,20 - 24 ปี,1055694,คน,สำนักงานสถิติแห่งชาติ
163,2533,ทั่วประเทศ,รวม,รวม,รวม,25 - 29 ปี,5150028,คน,สำนักงานสถิติแห่งชาติ
164,2533,ทั่วประเทศ,รวม,รวม,ชาย,25 - 29 ปี,2522439,คน,สำนักงานสถิติแห่งชาติ
165,2533,ทั่วประเทศ,รวม,รวม,หญิง,25 - 29 ปี,2627589,คน,สำนักงานสถิติแห่งชาติ
166,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,25 - 29 ปี,1187890,คน,สำนักงานสถิติแห่งชาติ
167,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,25 - 29 ปี,565142,คน,สำนักงานสถิติแห่งชาติ
168,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,25 - 29 ปี,622748,คน,สำนักงานสถิติแห่งชาติ
169,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,25 - 29 ปี,3962138,คน,สำนักงานสถิติแห่งชาติ
170,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,25 - 29 ปี,1957297,คน,สำนักงานสถิติแห่งชาติ
171,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,25 - 29 ปี,2004841,คน,สำนักงานสถิติแห่งชาติ
172,2543,ทั่วประเทศ,รวม,รวม,รวม,25 - 29 ปี,5407796,คน,สำนักงานสถิติแห่งชาติ
173,2543,ทั่วประเทศ,รวม,รวม,ชาย,25 - 29 ปี,2631408,คน,สำนักงานสถิติแห่งชาติ
174,2543,ทั่วประเทศ,รวม,รวม,หญิง,25 - 29 ปี,2776388,คน,สำนักงานสถิติแห่งชาติ
175,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,25 - 29 ปี,1910236,คน,สำนักงานสถิติแห่งชาติ
176,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,25 - 29 ปี,907807,คน,สำนักงานสถิติแห่งชาติ
177,2543,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,25 - 29 ปี,1002429,คน,สำนักงานสถิติแห่งชาติ
178,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,25 - 29 ปี,3497560,คน,สำนักงานสถิติแห่งชาติ
179,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,25 - 29 ปี,1723601,คน,สำนักงานสถิติแห่งชาติ
180,2543,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,25 - 29 ปี,1773959,คน,สำนักงานสถิติแห่งชาติ
181,2553,ทั่วประเทศ,รวม,รวม,รวม,25 - 29 ปี,5092597,คน,สำนักงานสถิติแห่งชาติ
182,2553,ทั่วประเทศ,รวม,รวม,ชาย,25 - 29 ปี,2529633,คน,สำนักงานสถิติแห่งชาติ
183,2553,ทั่วประเทศ,รวม,รวม,หญิง,25 - 29 ปี,2562964,คน,สำนักงานสถิติแห่งชาติ
184,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,25 - 29 ปี,2698419,คน,สำนักงานสถิติแห่งชาติ
185,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,25 - 29 ปี,1314421,คน,สำนักงานสถิติแห่งชาติ
186,2553,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,25 - 29 ปี,1383997,คน,สำนักงานสถิติแห่งชาติ
187,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,25 - 29 ปี,2394178,คน,สำนักงานสถิติแห่งชาติ
188,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,25 - 29 ปี,1215212,คน,สำนักงานสถิติแห่งชาติ
189,2553,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,25 - 29 ปี,1178966,คน,สำนักงานสถิติแห่งชาติ
190,2533,ทั่วประเทศ,รวม,รวม,รวม,30 - 34 ปี,4622825,คน,สำนักงานสถิติแห่งชาติ
191,2533,ทั่วประเทศ,รวม,รวม,ชาย,30 - 34 ปี,2260095,คน,สำนักงานสถิติแห่งชาติ
192,2533,ทั่วประเทศ,รวม,รวม,หญิง,30 - 34 ปี,2362730,คน,สำนักงานสถิติแห่งชาติ
193,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,รวม,30 - 34 ปี,1028854,คน,สำนักงานสถิติแห่งชาติ
194,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,ชาย,30 - 34 ปี,492865,คน,สำนักงานสถิติแห่งชาติ
195,2533,ทั่วประเทศ,รวม,ในเขตเทศบาล,หญิง,30 - 34 ปี,535989,คน,สำนักงานสถิติแห่งชาติ
196,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,รวม,30 - 34 ปี,3593971,คน,สำนักงานสถิติแห่งชาติ
197,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,ชาย,30 - 34 ปี,1767230,คน,สำนักงานสถิติแห่งชาติ
198,2533,ทั่วประเทศ,รวม,นอกเขตเทศบาล,หญิง,30 - 34 ปี,1826741,คน,สำนักงานสถิติแห่งชาติ
199,2543,ทั่วประเทศ,รวม,รวม,รวม,30 - 34 ปี,5525944,คน,สำนักงานสถิติแห่งชาติ
200,2543,ทั่วประเทศ,รวม,รวม,ชาย,30 - 34 ปี,2671164,คน,สำนักงานสถิติแห่งชาติ
201,2543,ทั่วประเทศ,รวม,รวม,หญิง,30 - 34 ปี,2854780,คน,สำนักงานสถิติแห่งชาติ
