﻿year,quarter,region,area,level_of_edu,value,unit,source
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",62.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","11. อื่น ๆ",93.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"1) ในเขตเทศบาล","12. ไม่ทราบ",83.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล",รวม,65.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","01. ไม่มีการศึกษา",45.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",45.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","03. ประถมศึกษา",73.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","04. มัธยมศึกษาตอนต้น",62.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",74.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",70.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",64.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",83.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1",ทั่วราชอาณาจักร,"2) นอกเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",84.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",70.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",80.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"08. อุดมศึกษา สายวิชาการ",81.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"09. อุดมศึกษา สายวิชาชีพ",84.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"10. อุดมศึกษา สายวิชาการศึกษา",64.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"11. อื่น ๆ",95.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง",รวม,"12. ไม่ทราบ",90.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล",รวม,70.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","01. ไม่มีการศึกษา",59.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",41.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","03. ประถมศึกษา",75.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","04. มัธยมศึกษาตอนต้น",68.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",73.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",67.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",88.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",79.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",82.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",57.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","11. อื่น ๆ",94.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","1) ในเขตเทศบาล","12. ไม่ทราบ",89.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล",รวม,70.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","01. ไม่มีการศึกษา",53.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",45.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","03. ประถมศึกษา",75.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","04. มัธยมศึกษาตอนต้น",69.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",75.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",74.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",70.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",84.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",86.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",72.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","11. อื่น ๆ",96.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","2) ภาคกลาง","2) นอกเขตเทศบาล","12. ไม่ทราบ",93.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,รวม,65.06,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"01. ไม่มีการศึกษา",51.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"02. ต่ำกว่าประถมศึกษา",50.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"03. ประถมศึกษา",74.17,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"04. มัธยมศึกษาตอนต้น",62.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"05. มัธยมศึกษาตอนปลาย สายสามัญ",72.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",65.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",89.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"08. อุดมศึกษา สายวิชาการ",81.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"09. อุดมศึกษา สายวิชาชีพ",83.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"10. อุดมศึกษา สายวิชาการศึกษา",69.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"11. อื่น ๆ",60.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ",รวม,"12. ไม่ทราบ",68.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล",รวม,64.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","01. ไม่มีการศึกษา",55.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",48.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","03. ประถมศึกษา",69.95,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","04. มัธยมศึกษาตอนต้น",59.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",64.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",66.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",90.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",79.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",83.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",66.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","11. อื่น ๆ",60.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","1) ในเขตเทศบาล","12. ไม่ทราบ",69.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล",รวม,65.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","01. ไม่มีการศึกษา",49.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",51.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","03. ประถมศึกษา",75.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","04. มัธยมศึกษาตอนต้น",63.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",77.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",65.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",100.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",83.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",84.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",72.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","3) ภาคเหนือ","2) นอกเขตเทศบาล","12. ไม่ทราบ",68.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,รวม,59.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"01. ไม่มีการศึกษา",26.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"02. ต่ำกว่าประถมศึกษา",38.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"03. ประถมศึกษา",70.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"04. มัธยมศึกษาตอนต้น",56.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"05. มัธยมศึกษาตอนปลาย สายสามัญ",68.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",60.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",46.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"08. อุดมศึกษา สายวิชาการ",82.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"09. อุดมศึกษา สายวิชาชีพ",81.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"10. อุดมศึกษา สายวิชาการศึกษา",61.51,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ",รวม,"12. ไม่ทราบ",11.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล",รวม,59.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","01. ไม่มีการศึกษา",21.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",36.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","03. ประถมศึกษา",68.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","04. มัธยมศึกษาตอนต้น",55.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",64.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",58.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",100.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",81.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",81.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",54.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","1) ในเขตเทศบาล","12. ไม่ทราบ",.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล",รวม,59.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","01. ไม่มีการศึกษา",27.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","02. ต่ำกว่าประถมศึกษา",39.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","03. ประถมศึกษา",71.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","04. มัธยมศึกษาตอนต้น",56.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","05. มัธยมศึกษาตอนปลาย สายสามัญ",70.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",61.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",33.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","08. อุดมศึกษา สายวิชาการ",82.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","09. อุดมศึกษา สายวิชาชีพ",81.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","10. อุดมศึกษา สายวิชาการศึกษา",66.29,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","4) ภาคตะวันออกเฉียงเหนือ","2) นอกเขตเทศบาล","12. ไม่ทราบ",22.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,รวม,68.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"01. ไม่มีการศึกษา",44.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"02. ต่ำกว่าประถมศึกษา",50.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"03. ประถมศึกษา",74.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"04. มัธยมศึกษาตอนต้น",61.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"05. มัธยมศึกษาตอนปลาย สายสามัญ",71.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา",73.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา",75.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"08. อุดมศึกษา สายวิชาการ",83.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,"ไตรมาส 1","5) ภาคใต้",รวม,"09. อุดมศึกษา สายวิชาชีพ",83.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
